VariableCode,RegionCode,YearCode,AggValue
rgdpna,AUS,2018,1319492.87500000000000000
rkna,AUS,2018,1.02127015590668000
rtfpna,AUS,2018,0.99908006191253700
labsh,AUS,2018,0.57164514064788800
emp,AUS,2019,12.86317443847660000
avh,AUS,2019,1726.79765901284000000
hc,AUS,2019,3.54966616630554000
rgdpna,AUS,2019,1315734.25000000000000000
rkna,AUS,2019,1.04093658924103000
rtfpna,AUS,2019,0.97605651617050200
emp,CHN,2010,781.03552246093800000
avh,CHN,2010,2172.71018311543000000
hc,CHN,2010,2.44102191925049000
rgdpna,CHN,2010,13947309.00000000000000000
rkna,CHN,2010,0.49140527844429000
rtfpna,CHN,2010,1.01969945430756000
labsh,CHN,2010,0.54825508594512900
emp,CHN,2011,784.71331787109400000
avh,CHN,2011,2178.80911654017000000
hc,CHN,2011,2.47546982765198000
rgdpna,CHN,2011,14918415.00000000000000000
rkna,CHN,2011,0.55305677652359000
rtfpna,CHN,2011,1.02195096015930000
labsh,CHN,2011,0.54998290538787800
emp,CHN,2012,788.29284667968800000
avh,CHN,2012,2184.29287571704000000
hc,CHN,2012,2.51040363311768000
rgdpna,CHN,2012,15416000.00000000000000000
rkna,CHN,2012,0.61945784091949500
rtfpna,CHN,2012,0.99241262674331700
labsh,CHN,2012,0.56034004688262900
emp,CHN,2013,791.64276123046900000
avh,CHN,2013,2178.32501540720000000
hc,CHN,2013,2.54583048820496000
rgdpna,CHN,2013,16562428.00000000000000000
rkna,CHN,2013,0.68976914882659900
rtfpna,CHN,2013,1.00868463516235000
labsh,CHN,2013,0.57114380598068200
emp,CHN,2014,794.64562988281300000
avh,CHN,2014,2178.66247759958000000
hc,CHN,2014,2.57462215423584000
rgdpna,CHN,2014,17711682.00000000000000000
rkna,CHN,2014,0.76219743490219100
rtfpna,CHN,2014,1.02483415603638000
labsh,CHN,2014,0.57800638675689700
emp,CHN,2015,797.33526611328100000
avh,CHN,2015,2170.45931702625000000
hc,CHN,2015,2.59902787208557000
rgdpna,CHN,2015,18379366.00000000000000000
rkna,CHN,2015,0.83849674463272100
rtfpna,CHN,2015,1.01640474796295000
labsh,CHN,2015,0.58316868543624900
emp,CHN,2016,798.53033447265600000
avh,CHN,2016,2167.22768958674000000
hc,CHN,2016,2.62366509437561000
rgdpna,CHN,2016,19132416.00000000000000000
rkna,CHN,2016,0.91797506809234600
rtfpna,CHN,2016,1.01338648796082000
emp,BRB,2010,0.12700000405311600
hc,BRB,2010,2.80009937286377000
rgdpna,BRB,2010,3288.88867187500000000
rkna,BRB,2010,0.96211886405944800
rtfpna,BRB,2010,1.04004144668579000
labsh,BRB,2010,0.75056594610214200
emp,BRB,2011,0.12839999794960000
hc,BRB,2011,2.80511355400085000
rgdpna,BRB,2011,3266.74487304688000000
rkna,BRB,2011,0.95708650350570700
rtfpna,BRB,2011,1.02017283439636000
labsh,BRB,2011,0.75056594610214200
emp,BRB,2012,0.12520000338554400
hc,BRB,2012,2.81015086174011000
rgdpna,BRB,2012,3252.05615234375000000
rkna,BRB,2012,0.96960914134979200
rtfpna,BRB,2012,1.02940475940704000
labsh,BRB,2012,0.75056594610214200
emp,BRB,2013,0.12620000541210200
